Tools	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	Frame	Time [sec]	Face	State	Rz	Ry	Rx	Tx	Ty	Tz	Error	Markers
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	122694	383.418	1	OK	84.5930498	68.8979655	61.4804645	227.793	63.275	-305.509	0.4343900	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	123974	387.418	1	OK	94.3527067	57.3168013	74.3479931	227.900	47.778	-303.926	0.4464725	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	125262	391.443	1	OK	91.8859205	51.2026995	71.5445263	226.652	33.403	-302.817	0.5541824	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	126542	395.443	1	OK	57.8481610	71.6738295	44.8551532	223.360	18.378	-301.995	0.3402482	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	127822	399.443	1	OK	-28.7767364	72.5590008	-37.5443810	219.917	4.253	-297.165	0.3393615	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	129110	403.468	1	OK	-44.1142979	77.9499964	-52.4871452	218.220	-11.535	-294.704	0.1252080	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	130390	407.468	1	OK	-9.8492006	78.3102020	-17.9124135	216.983	-26.564	-291.667	0.1429474	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	131670	411.468	1	OK	9.3396716	74.9360082	2.1105843	215.654	-40.540	-286.871	0.2900912	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	132958	415.493	1	OK	26.2671098	69.4610155	21.7837609	213.499	-53.815	-281.738	0.5561951	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	134238	419.493	1	OK	32.7732126	63.7120325	29.2959186	211.111	-65.639	-277.243	0.7372983	0
